Date,Open,High,Low,Close,Volume,OpenInterest
2022-01-03,100.00,100.50,99.50,100.00,10000,0
2022-01-04,100.50,101.00,100.00,100.50,10000,0
2022-01-05,101.00,101.50,100.50,101.00,10000,0
2022-01-06,101.50,102.00,101.00,101.50,10000,0
2022-01-07,102.00,102.50,101.50,102.00,10000,0
2022-01-10,103.00,103.50,102.50,103.00,10000,0
2022-01-11,104.00,104.50,103.50,104.00,10000,0
2022-01-12,105.00,105.50,104.50,105.00,10000,0
2022-01-13,106.00,106.50,105.50,106.00,10000,0
2022-01-14,107.00,107.50,106.50,107.00,10000,0
2022-01-17,109.00,109.50,108.50,109.00,12000,0
2022-01-18,112.00,112.50,111.50,112.00,12000,0
2022-01-19,115.00,115.50,114.50,115.00,12000,0
2022-01-20,118.00,118.50,117.50,118.00,15000,0
2022-01-21,116.00,116.50,115.50,116.00,15000,0
2022-01-24,113.00,113.50,112.50,113.00,15000,0
2022-01-25,110.00,110.50,109.50,110.00,15000,0
2022-01-26,108.00,108.50,107.50,108.00,15000,0
2022-01-27,106.00,106.50,105.50,106.00,15000,0
2022-01-28,105.00,105.50,104.50,105.00,15000,0
2022-01-31,104.00,104.50,103.50,104.00,15000,0
2022-02-01,103.50,104.00,102.50,103.00,14000,0
2022-02-02,103.00,103.50,101.50,102.00,14500,0
2022-02-03,101.50,102.00,100.00,100.50,15000,0
2022-02-04,100.00,100.50,98.50,99.00,16000,0
