Date,Open,High,Low,Close,Volume,OpenInterest
2020-01-01,100.00,102.50,99.50,101.00,10000,0
2020-01-02,101.50,103.00,100.50,102.00,12000,0
2020-01-03,102.20,104.00,101.80,103.50,11000,0
2020-01-04,103.00,103.50,102.00,102.80,10500,0
2020-01-05,102.80,105.00,102.50,104.50,13000,0
2020-01-06,104.50,106.00,104.00,105.00,12500,0
2020-01-07,105.20,107.00,104.80,106.50,11500,0
2020-01-08,106.00,106.50,105.00,105.80,10000,0
2020-01-09,105.80,108.00,105.50,107.50,13000,0
2020-01-10,107.50,109.00,107.00,108.00,12000,0
2020-01-13,108.20,110.00,107.80,109.50,11000,0
2020-01-14,109.00,109.50,108.00,108.80,10500,0
2020-01-15,108.80,111.00,108.50,110.50,13000,0
2020-01-16,110.50,112.00,110.00,111.00,12500,0
2020-01-17,111.20,113.00,110.80,112.50,11500,0
2020-01-20,112.00,112.50,111.00,111.80,10000,0
2020-01-21,111.80,114.00,111.50,113.50,13000,0
2020-01-22,113.50,115.00,113.00,114.00,12000,0
2020-01-23,114.20,116.00,113.80,115.50,11000,0
2020-01-24,115.00,115.50,114.00,114.80,10500,0
